detector,anomaly_type,window_size,trial,tpr,fpr,precision,f1,detection_latency,tp,fp,tn,fn
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,20,0.0,0.0297,0.0,0.0,-1,0,1195,39102,1
"ZScore(w=10, thr=3.0)",transient,10,21,1.0,0.0644,0.0004,0.0008,0,1,2595,37696,0
"MAD(w=10, thr=3.5)",transient,10,21,1.0,0.1236,0.0002,0.0004,0,1,4980,35311,0
"EWMA(lambda=0.2, L=3.5)",transient,10,21,1.0,0.8282,0.0,0.0001,0,1,33370,6921,0
"CUSUM(k=0.5, h=3.5)",transient,10,21,1.0,0.6178,0.0,0.0001,0,1,24892,15399,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,21,1.0,0.4479,0.0001,0.0001,0,1,18045,22246,0
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,21,0.0,0.0077,0.0,0.0,3,0,311,39980,1
"ZScore(w=10, thr=3.0)",transient,10,22,1.0,0.0598,0.0004,0.0008,0,1,2409,37887,0
"MAD(w=10, thr=3.5)",transient,10,22,1.0,0.1259,0.0002,0.0004,0,1,5072,35224,0
"EWMA(lambda=0.2, L=3.5)",transient,10,22,0.0,0.0824,0.0,0.0,-1,0,3319,36977,1
"CUSUM(k=0.5, h=3.5)",transient,10,22,1.0,0.0373,0.0007,0.0013,0,1,1504,38792,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,22,0.0,0.0891,0.0,0.0,-1,0,3590,36706,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,22,0.0,0.019,0.0,0.0,-1,0,765,39531,1
"ZScore(w=10, thr=3.0)",transient,10,23,1.0,0.0823,0.0004,0.0008,0,1,2368,26418,0
"MAD(w=10, thr=3.5)",transient,10,23,1.0,0.1805,0.0002,0.0004,0,1,5195,23591,0
"EWMA(lambda=0.2, L=3.5)",transient,10,23,1.0,0.0197,0.0018,0.0035,0,1,568,28218,0
"CUSUM(k=0.5, h=3.5)",transient,10,23,1.0,0.0102,0.0034,0.0068,0,1,293,28493,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,23,0.0,0.0832,0.0,0.0,-1,0,2395,26391,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,23,0.0,0.001,0.0,0.0,-1,0,30,28756,1
"ZScore(w=10, thr=3.0)",transient,10,24,1.0,0.0521,0.0005,0.001,0,1,2100,38195,0
"MAD(w=10, thr=3.5)",transient,10,24,1.0,0.0977,0.0003,0.0005,0,1,3938,36357,0
"EWMA(lambda=0.2, L=3.5)",transient,10,24,0.0,0.0122,0.0,0.0,-1,0,492,39803,1
"CUSUM(k=0.5, h=3.5)",transient,10,24,0.0,0.0161,0.0,0.0,-1,0,649,39646,1
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,24,0.0,0.082,0.0,0.0,3,0,3304,36991,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,24,0.0,0.0208,0.0,0.0,-1,0,837,39458,1
"ZScore(w=10, thr=3.0)",transient,10,25,1.0,0.0719,0.0003,0.0007,0,1,2897,37369,0
"MAD(w=10, thr=3.5)",transient,10,25,1.0,0.2197,0.0001,0.0002,0,1,8845,31421,0
"EWMA(lambda=0.2, L=3.5)",transient,10,25,1.0,0.0897,0.0003,0.0006,0,1,3611,36655,0
"CUSUM(k=0.5, h=3.5)",transient,10,25,1.0,0.0346,0.0007,0.0014,0,1,1395,38871,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,25,0.0,0.0889,0.0,0.0,-1,0,3578,36688,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,25,0.0,0.0173,0.0,0.0,-1,0,695,39571,1
"ZScore(w=10, thr=3.0)",transient,10,26,1.0,0.0694,0.0004,0.0007,0,1,2796,37500,0
"MAD(w=10, thr=3.5)",transient,10,26,1.0,0.1416,0.0002,0.0004,0,1,5706,34590,0
"EWMA(lambda=0.2, L=3.5)",transient,10,26,0.0,0.137,0.0,0.0,-1,0,5522,34774,1
"CUSUM(k=0.5, h=3.5)",transient,10,26,0.0,0.0434,0.0,0.0,-1,0,1749,38547,1
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,26,1.0,0.1008,0.0002,0.0005,0,1,4062,36234,0
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,26,0.0,0.0685,0.0,0.0,-1,0,2762,37534,1
"ZScore(w=10, thr=3.0)",transient,10,27,1.0,0.0731,0.0003,0.0007,0,1,2944,37351,0
"MAD(w=10, thr=3.5)",transient,10,27,1.0,0.1724,0.0001,0.0003,0,1,6945,33350,0
"EWMA(lambda=0.2, L=3.5)",transient,10,27,1.0,0.3942,0.0001,0.0001,0,1,15886,24409,0
"CUSUM(k=0.5, h=3.5)",transient,10,27,1.0,0.1506,0.0002,0.0003,0,1,6067,34228,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,27,1.0,0.1416,0.0002,0.0004,0,1,5705,34590,0
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,27,0.0,0.0382,0.0,0.0,-1,0,1539,38756,1
"ZScore(w=10, thr=3.0)",transient,10,28,1.0,0.0761,0.0003,0.0007,0,1,3056,37084,0
"MAD(w=10, thr=3.5)",transient,10,28,1.0,0.1835,0.0001,0.0003,0,1,7366,32774,0
"EWMA(lambda=0.2, L=3.5)",transient,10,28,0.0,0.2286,0.0,0.0,-1,0,9174,30966,1
"CUSUM(k=0.5, h=3.5)",transient,10,28,0.0,0.1437,0.0,0.0,-1,0,5768,34372,1
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,28,0.0,0.1946,0.0,0.0,3,0,7810,32330,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,28,0.0,0.0026,0.0,0.0,-1,0,104,40036,1
"ZScore(w=10, thr=3.0)",transient,10,29,1.0,0.0695,0.0004,0.0007,0,1,2799,37494,0
"MAD(w=10, thr=3.5)",transient,10,29,1.0,0.1623,0.0002,0.0003,0,1,6538,33755,0
"EWMA(lambda=0.2, L=3.5)",transient,10,29,0.0,0.4798,0.0,0.0,-1,0,19333,20960,1
"CUSUM(k=0.5, h=3.5)",transient,10,29,1.0,0.224,0.0001,0.0002,0,1,9027,31266,0
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,29,0.0,0.1719,0.0,0.0,-1,0,6928,33365,1
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,29,0.0,0.0173,0.0,0.0,-1,0,697,39596,1
"ZScore(w=20, thr=3.0)",burst,20,0,0.4,0.0399,0.0012,0.0025,0,2,1608,38681,3
"MAD(w=20, thr=3.5)",burst,20,0,1.0,0.0623,0.002,0.004,0,5,2508,37781,0
"EWMA(lambda=0.2, L=3.5)",burst,20,0,0.0,0.0954,0.0,0.0,-1,0,3843,36446,5
"CUSUM(k=0.5, h=3.5)",burst,20,0,0.2,0.0532,0.0005,0.0009,2,1,2145,38144,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,0,0.2,0.0924,0.0003,0.0005,3,1,3724,36565,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,0,0.4,0.4817,0.0001,0.0002,0,2,19406,20883,3
"ZScore(w=20, thr=3.0)",burst,20,1,0.4,0.0556,0.0009,0.0018,0,2,2242,38046,3
"MAD(w=20, thr=3.5)",burst,20,1,1.0,0.1614,0.0008,0.0015,0,5,6502,33786,0
"EWMA(lambda=0.2, L=3.5)",burst,20,1,1.0,0.329,0.0004,0.0008,0,5,13255,27033,0
"CUSUM(k=0.5, h=3.5)",burst,20,1,1.0,0.1733,0.0007,0.0014,0,5,6982,33306,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,1,1.0,0.3219,0.0004,0.0008,0,5,12967,27321,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,1,0.0,0.0024,0.0,0.0,-1,0,97,40191,5
"ZScore(w=20, thr=3.0)",burst,20,2,0.8,0.0496,0.0027,0.0054,0,4,1469,28152,1
"MAD(w=20, thr=3.5)",burst,20,2,1.0,0.1776,0.0009,0.0019,0,5,5260,24361,0
"EWMA(lambda=0.2, L=3.5)",burst,20,2,0.8,0.0329,0.0041,0.0081,1,4,974,28647,1
"CUSUM(k=0.5, h=3.5)",burst,20,2,1.0,0.0339,0.005,0.0099,0,5,1005,28616,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,2,0.6,0.0833,0.0012,0.0024,0,3,2466,27155,2
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,2,0.4,0.6635,0.0001,0.0002,3,2,19654,9967,3
"ZScore(w=20, thr=3.0)",burst,20,3,0.4,0.0412,0.0012,0.0024,0,2,1658,38597,3
"MAD(w=20, thr=3.5)",burst,20,3,1.0,0.0893,0.0014,0.0028,0,5,3594,36661,0
"EWMA(lambda=0.2, L=3.5)",burst,20,3,0.2,0.0051,0.0049,0.0095,4,1,204,40051,4
"CUSUM(k=0.5, h=3.5)",burst,20,3,0.2,0.043,0.0006,0.0012,2,1,1729,38526,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,3,0.2,0.0817,0.0003,0.0006,0,1,3287,36968,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,3,0.0,0.7281,0.0,0.0,-1,0,29310,10945,5
"ZScore(w=20, thr=3.0)",burst,20,4,0.4,0.06,0.0008,0.0017,0,2,2414,37844,3
"MAD(w=20, thr=3.5)",burst,20,4,1.0,0.1689,0.0007,0.0015,0,5,6798,33460,0
"EWMA(lambda=0.2, L=3.5)",burst,20,4,1.0,0.4109,0.0003,0.0006,0,5,16541,23717,0
"CUSUM(k=0.5, h=3.5)",burst,20,4,1.0,0.2441,0.0005,0.001,0,5,9827,30431,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,4,1.0,0.3488,0.0004,0.0007,0,5,14044,26214,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,4,0.0,0.0032,0.0,0.0,-1,0,129,40129,5
"ZScore(w=20, thr=3.0)",burst,20,5,0.4,0.0685,0.0007,0.0014,0,2,2760,37528,3
"MAD(w=20, thr=3.5)",burst,20,5,1.0,0.1896,0.0007,0.0013,0,5,7639,32649,0
"EWMA(lambda=0.2, L=3.5)",burst,20,5,0.8,0.4345,0.0002,0.0005,1,4,17507,22781,1
"CUSUM(k=0.5, h=3.5)",burst,20,5,1.0,0.2488,0.0005,0.001,0,5,10024,30264,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,5,0.2,0.3011,0.0001,0.0002,2,1,12129,28159,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,5,0.0,0.0019,0.0,0.0,-1,0,75,40213,5
"ZScore(w=20, thr=3.0)",burst,20,6,0.2,0.0548,0.0005,0.0009,0,1,2205,38067,4
"MAD(w=20, thr=3.5)",burst,20,6,1.0,0.2023,0.0006,0.0012,0,5,8149,32123,0
"EWMA(lambda=0.2, L=3.5)",burst,20,6,0.0,0.0116,0.0,0.0,-1,0,468,39804,5
"CUSUM(k=0.5, h=3.5)",burst,20,6,0.2,0.03,0.0008,0.0016,3,1,1207,39065,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,6,0.2,0.0822,0.0003,0.0006,2,1,3312,36960,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,6,0.0,0.3438,0.0,0.0,-1,0,13844,26428,5
"ZScore(w=20, thr=3.0)",burst,20,7,0.4,0.0376,0.0013,0.0026,0,2,1517,38776,3
"MAD(w=20, thr=3.5)",burst,20,7,1.0,0.0653,0.0019,0.0038,0,5,2633,37660,0
"EWMA(lambda=0.2, L=3.5)",burst,20,7,0.6,0.6376,0.0001,0.0002,2,3,25690,14603,2
"CUSUM(k=0.5, h=3.5)",burst,20,7,1.0,0.3496,0.0004,0.0007,0,5,14088,26205,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,7,0.2,0.1778,0.0001,0.0003,3,1,7164,33129,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,7,0.0,0.0068,0.0,0.0,-1,0,273,40020,5
"ZScore(w=20, thr=3.0)",burst,20,8,0.4,0.0556,0.0009,0.0018,0,2,2240,38040,3
"MAD(w=20, thr=3.5)",burst,20,8,1.0,0.175,0.0007,0.0014,0,5,7047,33233,0
"EWMA(lambda=0.2, L=3.5)",burst,20,8,0.4,0.0069,0.0072,0.0141,3,2,276,40004,3
"CUSUM(k=0.5, h=3.5)",burst,20,8,0.2,0.0053,0.0047,0.0091,1,1,213,40067,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,8,0.2,0.0814,0.0003,0.0006,1,1,3278,37002,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,8,0.0,0.905,0.0,0.0,-1,0,36455,3825,5
"ZScore(w=20, thr=3.0)",burst,20,9,0.2,0.0534,0.0005,0.0009,0,1,2149,38131,4
"MAD(w=20, thr=3.5)",burst,20,9,1.0,0.1695,0.0007,0.0015,0,5,6828,33452,0
"EWMA(lambda=0.2, L=3.5)",burst,20,9,0.4,0.0592,0.0008,0.0017,3,2,2385,37895,3
"CUSUM(k=0.5, h=3.5)",burst,20,9,0.4,0.0454,0.0011,0.0022,1,2,1827,38453,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,9,0.2,0.0873,0.0003,0.0006,1,1,3517,36763,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,9,0.0,0.4713,0.0,0.0,-1,0,18985,21295,5
"ZScore(w=20, thr=3.0)",burst,20,10,0.2,0.0453,0.0005,0.0011,0,1,1825,38468,4
"MAD(w=20, thr=3.5)",burst,20,10,1.0,0.1736,0.0007,0.0014,0,5,6993,33300,0
"EWMA(lambda=0.2, L=3.5)",burst,20,10,0.0,0.1964,0.0,0.0,-1,0,7915,32378,5
"CUSUM(k=0.5, h=3.5)",burst,20,10,0.2,0.067,0.0004,0.0007,3,1,2700,37593,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,10,0.0,0.0985,0.0,0.0,-1,0,3970,36323,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,10,0.4,0.3807,0.0001,0.0003,0,2,15340,24953,3
"ZScore(w=20, thr=3.0)",burst,20,11,0.2,0.0525,0.0005,0.0009,0,1,2113,38109,4
"MAD(w=20, thr=3.5)",burst,20,11,1.0,0.1627,0.0008,0.0015,0,5,6543,33679,0
"EWMA(lambda=0.2, L=3.5)",burst,20,11,1.0,0.0949,0.0013,0.0026,0,5,3818,36404,0
"CUSUM(k=0.5, h=3.5)",burst,20,11,1.0,0.0829,0.0015,0.003,0,5,3336,36886,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,11,0.6,0.0954,0.0008,0.0016,0,3,3839,36383,2
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,11,0.0,0.3939,0.0,0.0,-1,0,15845,24377,5
"ZScore(w=20, thr=3.0)",burst,20,12,0.2,0.0515,0.0005,0.001,0,1,2073,38216,4
"MAD(w=20, thr=3.5)",burst,20,12,1.0,0.1629,0.0008,0.0015,0,5,6562,33727,0
"EWMA(lambda=0.2, L=3.5)",burst,20,12,1.0,0.48,0.0003,0.0005,0,5,19337,20952,0
"CUSUM(k=0.5, h=3.5)",burst,20,12,1.0,0.224,0.0006,0.0011,0,5,9026,31263,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,12,0.4,0.1719,0.0003,0.0006,1,2,6927,33362,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,12,0.0,0.0078,0.0,0.0,-1,0,316,39973,5
"ZScore(w=20, thr=3.0)",burst,20,13,0.4,0.0573,0.0009,0.0017,0,2,2309,37953,3
"MAD(w=20, thr=3.5)",burst,20,13,1.0,0.2229,0.0006,0.0011,0,5,8975,31287,0
"EWMA(lambda=0.2, L=3.5)",burst,20,13,0.0,0.0897,0.0,0.0,-1,0,3610,36652,5
"CUSUM(k=0.5, h=3.5)",burst,20,13,0.0,0.0346,0.0,0.0,-1,0,1395,38867,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,13,0.2,0.0888,0.0003,0.0006,4,1,3576,36686,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,13,0.0,0.0307,0.0,0.0,-1,0,1236,39026,5
"ZScore(w=20, thr=3.0)",burst,20,14,0.2,0.0546,0.0005,0.0009,0,1,2198,38093,4
"MAD(w=20, thr=3.5)",burst,20,14,1.0,0.1705,0.0007,0.0015,0,5,6871,33420,0
"EWMA(lambda=0.2, L=3.5)",burst,20,14,1.0,0.3942,0.0003,0.0006,0,5,15883,24408,0
"CUSUM(k=0.5, h=3.5)",burst,20,14,1.0,0.1505,0.0008,0.0016,0,5,6064,34227,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,14,1.0,0.1416,0.0009,0.0018,0,5,5704,34587,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,14,0.4,0.0271,0.0018,0.0036,3,2,1091,39200,3
"ZScore(w=20, thr=3.0)",burst,20,15,0.2,0.0448,0.0006,0.0011,0,1,1807,38485,4
"MAD(w=20, thr=3.5)",burst,20,15,0.6,0.122,0.0006,0.0012,0,3,4915,35377,2
"EWMA(lambda=0.2, L=3.5)",burst,20,15,0.6,0.0476,0.0016,0.0031,2,3,1919,38373,2
"CUSUM(k=0.5, h=3.5)",burst,20,15,0.4,0.0338,0.0015,0.0029,1,2,1363,38929,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,15,0.2,0.0863,0.0003,0.0006,2,1,3479,36813,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,15,0.0,0.3575,0.0,0.0,-1,0,14405,25887,5
"ZScore(w=20, thr=3.0)",burst,20,16,0.6,0.058,0.0013,0.0026,0,3,2317,37623,2
"MAD(w=20, thr=3.5)",burst,20,16,1.0,0.2105,0.0006,0.0012,0,5,8408,31532,0
"EWMA(lambda=0.2, L=3.5)",burst,20,16,0.6,0.0072,0.0103,0.0202,2,3,289,39651,2
"CUSUM(k=0.5, h=3.5)",burst,20,16,0.4,0.0039,0.0127,0.0245,1,2,156,39784,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,16,0.2,0.0816,0.0003,0.0006,1,1,3260,36680,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,16,0.0,0.0108,0.0,0.0,-1,0,432,39508,5
"ZScore(w=20, thr=3.0)",burst,20,17,0.4,0.0544,0.001,0.0021,0,2,1908,33148,3
"MAD(w=20, thr=3.5)",burst,20,17,1.0,0.2139,0.0007,0.0013,0,5,7499,27557,0
"EWMA(lambda=0.2, L=3.5)",burst,20,17,1.0,0.4348,0.0003,0.0007,0,5,15243,19813,0
"CUSUM(k=0.5, h=3.5)",burst,20,17,1.0,0.1181,0.0012,0.0024,0,5,4141,30915,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,17,1.0,0.1549,0.0009,0.0018,0,5,5431,29625,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,17,0.4,0.0216,0.0026,0.0052,3,2,757,34299,3
"ZScore(w=20, thr=3.0)",burst,20,18,0.4,0.0543,0.0009,0.0018,0,2,2186,38106,3
"MAD(w=20, thr=3.5)",burst,20,18,0.2,0.136,0.0002,0.0004,3,1,5481,34811,4
"EWMA(lambda=0.2, L=3.5)",burst,20,18,0.0,0.137,0.0,0.0,-1,0,5522,34770,5
"CUSUM(k=0.5, h=3.5)",burst,20,18,0.0,0.0434,0.0,0.0,-1,0,1749,38543,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,18,0.0,0.1008,0.0,0.0,-1,0,4062,36230,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,18,0.0,0.1067,0.0,0.0,-1,0,4300,35992,5
"ZScore(w=20, thr=3.0)",burst,20,19,0.6,0.0533,0.0014,0.0028,0,3,2146,38113,2
"MAD(w=20, thr=3.5)",burst,20,19,1.0,0.1548,0.0008,0.0016,0,5,6234,34025,0
"EWMA(lambda=0.2, L=3.5)",burst,20,19,0.4,0.2018,0.0002,0.0005,3,2,8126,32133,3
"CUSUM(k=0.5, h=3.5)",burst,20,19,0.4,0.0722,0.0007,0.0014,1,2,2906,37353,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,19,0.2,0.1067,0.0002,0.0005,4,1,4294,35965,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,19,0.0,0.0078,0.0,0.0,-1,0,315,39944,5
"ZScore(w=20, thr=3.0)",burst,20,20,0.2,0.0599,0.0004,0.0008,0,1,2413,37845,4
"MAD(w=20, thr=3.5)",burst,20,20,1.0,0.1689,0.0007,0.0015,0,5,6801,33457,0
"EWMA(lambda=0.2, L=3.5)",burst,20,20,1.0,0.4104,0.0003,0.0006,0,5,16522,23736,0
"CUSUM(k=0.5, h=3.5)",burst,20,20,1.0,0.2441,0.0005,0.001,0,5,9825,30433,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,20,1.0,0.3489,0.0004,0.0007,0,5,14046,26212,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,20,0.0,0.0032,0.0,0.0,-1,0,129,40129,5
"ZScore(w=20, thr=3.0)",burst,20,21,0.4,0.0399,0.0012,0.0025,0,2,1609,38680,3
"MAD(w=20, thr=3.5)",burst,20,21,1.0,0.0623,0.002,0.004,0,5,2508,37781,0
"EWMA(lambda=0.2, L=3.5)",burst,20,21,0.6,0.0954,0.0008,0.0016,2,3,3845,36444,2
"CUSUM(k=0.5, h=3.5)",burst,20,21,0.4,0.0532,0.0009,0.0019,1,2,2145,38144,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,21,0.2,0.0924,0.0003,0.0005,2,1,3724,36565,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,21,0.0,0.4813,0.0,0.0,-1,0,19393,20896,5
"ZScore(w=20, thr=3.0)",burst,20,22,0.2,0.0548,0.0005,0.0009,0,1,2198,37936,4
"MAD(w=20, thr=3.5)",burst,20,22,0.8,0.1845,0.0005,0.0011,0,4,7405,32729,1
"EWMA(lambda=0.2, L=3.5)",burst,20,22,1.0,0.1234,0.001,0.002,0,5,4954,35180,0
"CUSUM(k=0.5, h=3.5)",burst,20,22,1.0,0.0611,0.002,0.0041,0,5,2452,37682,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,22,0.6,0.0972,0.0008,0.0015,0,3,3900,36234,2
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,22,0.0,0.3493,0.0,0.0,-1,0,14020,26114,5
"ZScore(w=20, thr=3.0)",burst,20,23,0.4,0.0532,0.0009,0.0019,0,2,2143,38116,3
"MAD(w=20, thr=3.5)",burst,20,23,1.0,0.1547,0.0008,0.0016,0,5,6228,34031,0
"EWMA(lambda=0.2, L=3.5)",burst,20,23,0.0,0.2018,0.0,0.0,-1,0,8125,32134,5
"CUSUM(k=0.5, h=3.5)",burst,20,23,0.0,0.0722,0.0,0.0,-1,0,2906,37353,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,23,0.0,0.1067,0.0,0.0,-1,0,4294,35965,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,23,0.0,0.0078,0.0,0.0,-1,0,315,39944,5
"ZScore(w=20, thr=3.0)",burst,20,24,0.4,0.0469,0.0011,0.0021,0,2,1890,38392,3
"MAD(w=20, thr=3.5)",burst,20,24,1.0,0.1136,0.0011,0.0022,0,5,4578,35704,0
"EWMA(lambda=0.2, L=3.5)",burst,20,24,0.4,0.0336,0.0015,0.0029,3,2,1355,38927,3
"CUSUM(k=0.5, h=3.5)",burst,20,24,0.4,0.0167,0.003,0.0059,1,2,674,39608,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,24,0.2,0.0831,0.0003,0.0006,1,1,3346,36936,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,24,0.0,0.3096,0.0,0.0,-1,0,12473,27809,5
"ZScore(w=20, thr=3.0)",burst,20,25,0.0,0.0187,0.0,0.0,-1,0,754,39464,5
"MAD(w=20, thr=3.5)",burst,20,25,1.0,0.0237,0.0052,0.0104,0,5,952,39266,0
"EWMA(lambda=0.2, L=3.5)",burst,20,25,1.0,0.3178,0.0004,0.0008,0,5,12783,27435,0
"CUSUM(k=0.5, h=3.5)",burst,20,25,0.6,0.1485,0.0005,0.001,0,3,5973,34245,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,25,0.4,0.1257,0.0004,0.0008,1,2,5057,35161,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,25,0.8,0.0613,0.0016,0.0032,1,4,2465,37753,1
"ZScore(w=20, thr=3.0)",burst,20,26,0.2,0.0425,0.0006,0.0012,0,1,1712,38579,4
"MAD(w=20, thr=3.5)",burst,20,26,0.6,0.0845,0.0009,0.0018,0,3,3403,36888,2
"EWMA(lambda=0.2, L=3.5)",burst,20,26,1.0,0.3261,0.0004,0.0008,0,5,13137,27154,0
"CUSUM(k=0.5, h=3.5)",burst,20,26,1.0,0.176,0.0007,0.0014,0,5,7091,33200,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,26,0.4,0.1511,0.0003,0.0007,1,2,6089,34202,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,26,0.0,0.0057,0.0,0.0,-1,0,228,40063,5
"ZScore(w=20, thr=3.0)",burst,20,27,0.4,0.0448,0.0011,0.0022,0,2,1807,38485,3
"MAD(w=20, thr=3.5)",burst,20,27,1.0,0.122,0.001,0.002,0,5,4914,35378,0
"EWMA(lambda=0.2, L=3.5)",burst,20,27,0.0,0.0475,0.0,0.0,-1,0,1915,38377,5
"CUSUM(k=0.5, h=3.5)",burst,20,27,0.2,0.0338,0.0007,0.0015,2,1,1362,38930,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,27,0.2,0.0863,0.0003,0.0006,3,1,3478,36814,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,27,0.0,0.3572,0.0,0.0,-1,0,14393,25899,5
"ZScore(w=20, thr=3.0)",burst,20,28,0.2,0.0556,0.0004,0.0009,0,1,2240,38040,4
"MAD(w=20, thr=3.5)",burst,20,28,1.0,0.175,0.0007,0.0014,0,5,7048,33232,0
"EWMA(lambda=0.2, L=3.5)",burst,20,28,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,20,28,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,28,0.2,0.0814,0.0003,0.0006,2,1,3278,37002,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,28,1.0,0.9054,0.0001,0.0003,0,5,36470,3810,0
"ZScore(w=20, thr=3.0)",burst,20,29,0.2,0.0549,0.0005,0.0009,0,1,2211,38073,4
"MAD(w=20, thr=3.5)",burst,20,29,1.0,0.1428,0.0009,0.0017,0,5,5751,34533,0
"EWMA(lambda=0.2, L=3.5)",burst,20,29,0.0,0.0056,0.0,0.0,-1,0,227,40057,5
"CUSUM(k=0.5, h=3.5)",burst,20,29,0.0,0.0122,0.0,0.0,-1,0,492,39792,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,29,0.2,0.0817,0.0003,0.0006,3,1,3293,36991,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,29,0.0,0.0197,0.0,0.0,-1,0,795,39489,5
"ZScore(w=20, thr=3.0)",rate_shift,20,0,0.0,0.0635,0.0,0.0,-1,0,1827,26940,20
"MAD(w=20, thr=3.5)",rate_shift,20,0,0.4,0.1898,0.0015,0.0029,0,8,5459,23308,12
"EWMA(lambda=0.2, L=3.5)",rate_shift,20,0,0.0,0.0197,0.0,0.0,-1,0,568,28199,20
"CUSUM(k=0.5, h=3.5)",rate_shift,20,0,0.0,0.0102,0.0,0.0,-1,0,293,28474,20
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,20,0,0.05,0.0832,0.0004,0.0008,-1,1,2394,26373,19
