detector,anomaly_type,window_size,n_trials,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,f1_mean,f1_std,detection_rate,avg_detection_latency,stdev_detection_latency
"EWMA(lambda=0.2, L=3.5)",transient,50,30,0.2333,0.423,0.0995,0.1283,0.0,0.0001,0.0001,0.0001,0.2333,0.0,0.0
"MAD(w=10, thr=3.5)",burst,10,30,0.8267,0.2294,0.1563,0.0436,0.0009,0.001,0.0018,0.002,1.0,0.0,0.0
"MAD(w=10, thr=3.5)",gradual_drift,10,30,0.17,0.1173,0.1493,0.0438,0.0007,0.0009,0.0015,0.0017,0.7333,0.82,1.07
"MAD(w=10, thr=3.5)",rate_shift,10,30,0.24,0.1399,0.1531,0.0475,0.001,0.0008,0.002,0.0017,0.9,0.15,0.59
"MAD(w=10, thr=3.5)",transient,10,30,1.0,0.0,0.1422,0.0455,0.0002,0.0001,0.0004,0.0001,1.0,0.0,0.0
"MAD(w=20, thr=3.5)",burst,20,30,0.94,0.1724,0.1474,0.0492,0.001,0.0009,0.002,0.0018,1.0,0.1,0.54
"MAD(w=20, thr=3.5)",gradual_drift,20,30,0.2783,0.2011,0.1546,0.0539,0.0009,0.0006,0.0018,0.0013,0.7333,0.55,0.78
"MAD(w=20, thr=3.5)",rate_shift,20,30,0.3683,0.1546,0.1575,0.0351,0.0012,0.0005,0.0024,0.0009,0.9333,0.04,0.19
"MAD(w=20, thr=3.5)",transient,20,30,1.0,0.0,0.1383,0.047,0.0002,0.0002,0.0005,0.0003,1.0,0.0,0.0
"MAD(w=30, thr=3.5)",burst,30,30,0.9467,0.1628,0.164,0.0472,0.0009,0.0005,0.0017,0.0009,1.0,0.0,0.0
"MAD(w=30, thr=3.5)",gradual_drift,30,30,0.4333,0.2942,0.1556,0.051,0.002,0.0023,0.0039,0.0045,0.6,1.11,1.15
"MAD(w=30, thr=3.5)",rate_shift,30,30,0.375,0.2254,0.1309,0.0519,0.0015,0.0011,0.003,0.0021,0.9333,0.36,0.89
"MAD(w=30, thr=3.5)",transient,30,30,1.0,0.0,0.1531,0.0463,0.0002,0.0001,0.0004,0.0002,1.0,0.0,0.0
"MAD(w=50, thr=3.5)",burst,50,30,0.8733,0.3076,0.1691,0.0611,0.001,0.0012,0.002,0.0023,0.9,0.0,0.0
"MAD(w=50, thr=3.5)",gradual_drift,50,30,0.585,0.3697,0.1532,0.0653,0.0023,0.0018,0.0045,0.0036,0.6,1.28,1.56
"MAD(w=50, thr=3.5)",rate_shift,50,30,0.5817,0.3436,0.1728,0.0414,0.0023,0.0038,0.0046,0.0075,0.8667,0.27,0.94
"MAD(w=50, thr=3.5)",transient,50,30,1.0,0.0,0.1314,0.0657,0.0003,0.0003,0.0006,0.0006,1.0,0.0,0.0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,30,0.38,0.3198,0.133,0.0983,0.0004,0.0003,0.0008,0.0006,0.8333,1.08,1.32
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,30,0.3733,0.3172,0.1346,0.0817,0.0004,0.0003,0.0007,0.0005,0.9,1.37,1.28
"PageHinkley(delta=0.5, lambda=12.0)",burst,30,30,0.16,0.189,0.087,0.0105,0.0002,0.0003,0.0005,0.0005,0.5333,1.69,1.45
"PageHinkley(delta=0.5, lambda=12.0)",burst,50,30,0.2933,0.2235,0.09,0.0099,0.0007,0.0018,0.0015,0.0036,0.9,1.37,1.47
"PageHinkley(delta=0.5, lambda=12.0)",gradual_drift,10,30,0.3,0.2106,0.1412,0.1089,0.0021,0.0052,0.004,0.0098,0.5667,2.12,1.53
"PageHinkley(delta=0.5, lambda=12.0)",gradual_drift,20,30,0.2567,0.2698,0.1285,0.0695,0.001,0.0009,0.002,0.0019,0.7,1.43,1.37
"PageHinkley(delta=0.5, lambda=12.0)",gradual_drift,30,30,0.2283,0.2076,0.0999,0.0354,0.002,0.005,0.0038,0.0094,0.4,2.25,1.23
"PageHinkley(delta=0.5, lambda=12.0)",gradual_drift,50,30,0.165,0.1403,0.0873,0.0075,0.001,0.0008,0.002,0.0016,0.4333,1.69,1.07
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,30,0.27,0.281,0.1392,0.1017,0.0018,0.0041,0.0034,0.0078,0.6333,1.16,1.46
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,20,30,0.2933,0.2801,0.1176,0.0578,0.0012,0.0009,0.0024,0.0017,0.7333,1.55,1.37
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,30,30,0.1683,0.1417,0.0961,0.035,0.0009,0.0005,0.0017,0.0011,0.5333,1.69,1.49
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,50,30,0.1867,0.2258,0.087,0.0093,0.0013,0.0016,0.0025,0.0032,0.7333,1.64,1.26
"PageHinkley(delta=0.5, lambda=12.0)",transient,10,30,0.4333,0.4955,0.1422,0.0967,0.0001,0.0001,0.0002,0.0002,0.6667,1.0,1.48
"PageHinkley(delta=0.5, lambda=12.0)",transient,20,30,0.4333,0.4955,0.1124,0.0453,0.0001,0.0001,0.0002,0.0003,0.5667,0.53,1.14
"PageHinkley(delta=0.5, lambda=12.0)",transient,30,30,0.3333,0.4714,0.0876,0.0081,0.0001,0.0001,0.0002,0.0003,0.6667,1.0,1.22
"PageHinkley(delta=0.5, lambda=12.0)",transient,50,30,0.2333,0.423,0.09,0.0117,0.0001,0.0001,0.0001,0.0002,0.5,1.13,1.2
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,30,0.2667,0.3399,0.118,0.2368,0.0015,0.0026,0.0029,0.0051,0.4333,1.46,1.22
"SlidingWindow(mean, w=10, thr=3.0)",gradual_drift,10,30,0.205,0.2779,0.06,0.1327,0.0051,0.0105,0.0098,0.02,0.0667,2.5,0.5
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,30,0.1533,0.3214,0.0203,0.0246,0.0073,0.0197,0.0137,0.0363,0.1,0.67,0.94
"SlidingWindow(mean, w=10, thr=3.0)",transient,10,30,0.0333,0.1795,0.0314,0.0658,0.0,0.0,0.0,0.0,0.0667,1.5,1.5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,30,0.1267,0.2555,0.2484,0.2801,0.0002,0.0006,0.0004,0.0012,0.2333,1.43,1.4
"SlidingWindow(mean, w=20, thr=3.0)",gradual_drift,20,30,0.2933,0.3846,0.2192,0.2617,0.0011,0.0022,0.0022,0.0043,0.2333,0.0,0.0
"SlidingWindow(mean, w=20, thr=3.0)",rate_shift,20,30,0.2483,0.3224,0.2183,0.252,0.005,0.0146,0.0092,0.0263,0.3,0.78,1.47
"SlidingWindow(mean, w=20, thr=3.0)",transient,20,30,0.2,0.4,0.3518,0.3055,0.0,0.0,0.0,0.0,0.2667,0.25,0.43
"SlidingWindow(mean, w=30, thr=3.0)",burst,30,30,0.3267,0.4366,0.3801,0.2822,0.0001,0.0001,0.0001,0.0002,0.4333,0.69,1.43
"SlidingWindow(mean, w=30, thr=3.0)",gradual_drift,30,30,0.2967,0.3235,0.2672,0.2567,0.0014,0.0032,0.0027,0.0063,0.3,0.11,0.31
"SlidingWindow(mean, w=30, thr=3.0)",rate_shift,30,30,0.3367,0.3557,0.3582,0.2598,0.0006,0.0016,0.0012,0.0031,0.3333,0.4,1.2
"SlidingWindow(mean, w=30, thr=3.0)",transient,30,30,0.4333,0.4955,0.4149,0.2895,0.0,0.0,0.0,0.0,0.4333,0.0,0.0
"SlidingWindow(mean, w=50, thr=3.0)",burst,50,30,0.1933,0.3596,0.1376,0.1769,0.0003,0.0007,0.0006,0.0014,0.2667,1.25,1.64
"SlidingWindow(mean, w=50, thr=3.0)",gradual_drift,50,30,0.2383,0.3768,0.0946,0.1571,0.0018,0.006,0.0035,0.0117,0.2,0.17,0.37
"SlidingWindow(mean, w=50, thr=3.0)",rate_shift,50,30,0.1633,0.3411,0.1344,0.2168,0.0036,0.0108,0.0067,0.0204,0.1667,0.0,0.0
"SlidingWindow(mean, w=50, thr=3.0)",transient,50,30,0.0667,0.2494,0.1313,0.1711,0.0,0.0,0.0,0.0,0.0667,0.0,0.0
"ZScore(w=10, thr=3.0)",burst,10,30,0.1867,0.1024,0.0674,0.0101,0.0005,0.0006,0.001,0.0012,0.8333,0.0,0.0
"ZScore(w=10, thr=3.0)",gradual_drift,10,30,0.0983,0.0701,0.067,0.0111,0.0009,0.0007,0.0017,0.0014,0.6,1.44,1.17
"ZScore(w=10, thr=3.0)",rate_shift,10,30,0.0883,0.0628,0.0668,0.0122,0.0007,0.0005,0.0014,0.001,0.6,0.22,0.71
"ZScore(w=10, thr=3.0)",transient,10,30,1.0,0.0,0.0642,0.0117,0.0004,0.0001,0.0008,0.0002,1.0,0.0,0.0
"ZScore(w=20, thr=3.0)",burst,20,30,0.3333,0.1578,0.0505,0.0091,0.0008,0.0005,0.0017,0.001,0.9667,0.0,0.0
"ZScore(w=20, thr=3.0)",gradual_drift,20,30,0.0817,0.0851,0.0512,0.0102,0.0008,0.0008,0.0016,0.0017,0.4333,1.54,1.08
"ZScore(w=20, thr=3.0)",rate_shift,20,30,0.0683,0.0474,0.0513,0.0063,0.0007,0.0006,0.0014,0.0011,0.6667,0.15,0.36
"ZScore(w=20, thr=3.0)",transient,20,30,1.0,0.0,0.048,0.0094,0.0006,0.0002,0.0011,0.0003,1.0,0.0,0.0
"ZScore(w=30, thr=3.0)",burst,30,30,0.5267,0.1672,0.0464,0.0059,0.0015,0.0005,0.003,0.0011,1.0,0.0,0.0
"ZScore(w=30, thr=3.0)",gradual_drift,30,30,0.0817,0.0524,0.0457,0.0076,0.0013,0.0019,0.0025,0.0034,0.2667,1.62,1.41
"ZScore(w=30, thr=3.0)",rate_shift,30,30,0.095,0.086,0.0422,0.0078,0.0012,0.001,0.0023,0.0019,0.6667,1.15,1.31
"ZScore(w=30, thr=3.0)",transient,30,30,1.0,0.0,0.0467,0.0072,0.0006,0.0001,0.0011,0.0002,1.0,0.0,0.0
"ZScore(w=50, thr=3.0)",burst,50,30,0.5667,0.2832,0.0399,0.0076,0.0027,0.0047,0.0054,0.0091,0.8333,0.0,0.0
"ZScore(w=50, thr=3.0)",gradual_drift,50,30,0.1067,0.1031,0.0399,0.0088,0.0015,0.0016,0.003,0.0031,0.2667,3.0,1.32
"ZScore(w=50, thr=3.0)",rate_shift,50,30,0.0917,0.0786,0.0418,0.0064,0.0015,0.0025,0.0029,0.0045,0.6,0.22,0.92
"ZScore(w=50, thr=3.0)",transient,50,30,0.9333,0.2494,0.036,0.009,0.0007,0.0003,0.0014,0.0006,0.9333,0.0,0.0
