detector,window,source,anomaly_type,base,seed,mag,stream,family,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k,threshold,anomaly_ratio
hampel,30,syn,spike,periodic,1,4.0,syn|spike|periodic|s1|m4.0,robust,0.10628205128205129,0.0732385519389691,0.25,0.15384615384615385,0.6666666666666666,0.3140463137355422,0.16666666666666666,43.971393999291884,23.80472733262522,0.6666666666666666,0.0,18.333333333333332,1.2163830433104719,0.005
hampel,30,syn,spike,periodic,2,4.0,syn|spike|periodic|s2|m4.0,robust,0.006746601364580034,0.053524689864794465,0.015957446808510637,0.00804289544235925,1.0,0.05530087136953993,0.015151515151515152,-501.7709546494764,-1103.1042879828099,1.0,0.0,601.6666666666666,0.4269308162451707,0.005
hampel,30,syn,spike,periodic,3,4.0,syn|spike|periodic|s3|m4.0,robust,0.04590227659449627,0.06649997791469921,0.125,0.07692307692307693,0.3333333333333333,0.15174847717970644,0.08888888888888889,13.055119151261918,-7.111547515404748,0.3333333333333333,0.0,20.0,1.2597382343045438,0.005
hampel,30,syn,spike,periodic,4,4.0,syn|spike|periodic|s4|m4.0,robust,0.04594180182635955,0.07109603886155115,0.18181818181818182,0.125,0.3333333333333333,0.19777383895702158,0.08333333333333333,19.235696999645942,6.402363666312609,0.3333333333333333,0.0,11.666666666666666,1.749811097487656,0.005
hampel,30,syn,spike,periodic,0,6.0,syn|spike|periodic|s0|m6.0,robust,0.0628716744913928,0.06583957468447073,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2303596150110329,0.08333333333333333,22.90236366631261,13.73569699964594,0.3333333333333333,0.0,8.333333333333334,1.7277513900575698,0.005
hampel,30,syn,spike,periodic,1,6.0,syn|spike|periodic|s1|m6.0,robust,0.25,0.10194055500152634,0.4,0.25,1.0,0.4962168435058351,0.25,79.70709099893783,63.20709099893782,1.0,0.0,15.0,1.27809875502074,0.005
hampel,30,syn,spike,periodic,2,6.0,syn|spike|periodic|s2|m6.0,robust,0.024811570458219686,0.06007127780891631,0.054054054054054064,0.028169014084507043,0.6666666666666666,0.12034064901260876,0.046511627906976744,-17.487233963597415,-132.98723396359742,0.6666666666666666,0.0,113.33333333333333,0.9495412543499325,0.005
hampel,30,syn,spike,periodic,3,6.0,syn|spike|periodic|s3|m6.0,robust,0.10072591641934707,0.07738685355599072,0.25,0.15384615384615385,0.6666666666666666,0.3140463137355422,0.16666666666666666,43.971393999291884,23.80472733262522,0.6666666666666666,0.0,18.333333333333332,1.3147733137732527,0.005
hampel,30,syn,spike,periodic,4,6.0,syn|spike|periodic|s4|m6.0,robust,0.09346037199635214,0.08218528505618727,0.28571428571428575,0.25,0.3333333333333333,0.28456167438942703,0.08333333333333333,26.569030332979278,21.069030332979274,0.3333333333333333,0.0,5.0,2.229197497051671,0.005
hampel,30,syn,spike,periodic,0,9.0,syn|spike|periodic|s0|m9.0,robust,0.147770811563915,0.08347355246600274,0.28571428571428575,0.25,0.3333333333333333,0.28456167438942703,0.16666666666666666,26.569030332979278,21.069030332979274,0.3333333333333333,0.0,5.0,2.2563743702466326,0.005
hampel,30,syn,spike,periodic,1,9.0,syn|spike|periodic|s1|m9.0,robust,0.7222222222222223,0.195563958593032,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6649916247906198,0.5,62.30472733262522,60.471393999291884,0.6666666666666666,0.0,1.6666666666666667,2.0594117909528413,0.005
hampel,30,syn,spike,periodic,2,9.0,syn|spike|periodic|s2|m9.0,robust,0.7291666666666666,0.20192357430427849,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,1.5219990376414085,0.005
hampel,30,syn,spike,periodic,3,9.0,syn|spike|periodic|s3|m9.0,robust,0.16408341114223465,0.09158056368151733,0.4,0.2857142857142857,0.6666666666666666,0.4324039429428106,0.16666666666666666,54.971393999291884,45.80472733262522,0.6666666666666666,0.0,8.333333333333334,1.7507234519723371,0.005
hampel,30,syn,spike,periodic,4,9.0,syn|spike|periodic|s4|m9.0,robust,0.18200100553041731,0.10405265592787787,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32998324958123953,0.16666666666666666,28.40236366631261,24.735696999645942,0.3333333333333333,0.0,3.3333333333333335,2.9482770963976934,0.005
hampel,30,syn,spike,trend,0,4.0,syn|spike|trend|s0|m4.0,robust,0.38023560209424084,0.13056538703998785,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,4.2393619080361455,0.005
