detector,window,anomaly_type,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k
ewmv_adaptive,30,periodicity,0.07759957364001546,0.09018477995276833,0.22738453837108508,0.12827987558735687,1.0,0.05901028656549083,0.4086228580609646,-2782.334642546214,-5664.334642546214,1.0,0.0,839.6666666666667
ewmv_adaptive,30,transient,0.013785268581251594,0.1027504356419453,0.04278732216981143,0.030196065222563226,0.6053174603174603,0.05541789099314603,0.05079060582150393,-235.31073120442622,-548.3294812044262,0.7583333333333333,0.3625,400.0
ewmv_adaptive,30,real,0.1736952370819738,0.17956208333045934,0.2443867779840907,0.23763227953833402,0.4741964731878782,0.15568971760680259,0.860453753375959,-4359.316885700907,-8805.674028558049,0.9761904761904762,15.367857142857144,275.0026902670173
ewmv_adaptive,50,spike,0.006752595400815105,0.05238296100666379,0.018109465072819724,0.009296646775898048,0.7444444444444444,0.041874254268059866,0.017080744430812745,-423.5955545077041,-924.0955545077042,0.7555555555555556,0.02222222222222222,485.6666666666667
ewmv_adaptive,50,drift,0.8372630507848222,0.833800743850769,0.8440621608708347,0.8064962656521442,0.9284597093581202,0.5249592911011896,0.9948526343702558,-1995.7200206408531,-4086.453353974187,1.0,6.85,165.13888888888889
ewmv_adaptive,50,periodicity,0.09262440108882902,0.10691325285631263,0.23717823321148962,0.13536266899137228,0.9653333333333334,0.08103518195408715,0.5046246243791845,-2550.234642546214,-5200.134642546214,1.0,1.2,768.0
ewmv_adaptive,50,transient,0.01228912440544191,0.09997414091846733,0.03676791390309317,0.02303024862699796,0.6028174603174603,0.050224646728313914,0.04150843498602284,-233.2638176807076,-543.8304843473743,0.7375,0.2930555555555555,398.30555555555554
ewmv_adaptive,50,real,0.1685737292827301,0.17596400458563508,0.25637229884591306,0.21380035875991651,0.5127452495630932,0.16312191583145813,0.7994671515193937,-4247.285700994279,-8582.143439089517,0.9761904761904762,47.778571428571425,285.08704854056197
deriv,10,spike,0.6162048479768885,0.20827835216812607,0.6670523267582091,0.7763624338624339,0.6888888888888889,0.6951904218465288,0.4294444444444444,65.58753953491447,62.1347617571367,0.6944444444444444,0.005555555555555555,3.305555555555556
deriv,10,drift,0.5600820360747373,0.5697113954983377,0.6863604012497032,0.5619588172621129,0.9867457860337118,0.11132775086174855,0.9786386183349195,-2776.011086064228,-5651.686086064228,1.0,0.06666666666666667,413.11111111111114
