detector,anomaly_type,window_size,trial,tpr,fpr,precision,f1,detection_latency,tp,fp,tn,fn
"CUSUM(k=0.5, h=3.5)",burst,20,4,1.0,0.1006,0.0012,0.0025,0,5,4052,36221,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,4,1.0,0.1221,0.001,0.002,0,5,4918,35355,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,4,1.0,0.7529,0.0002,0.0003,0,5,30322,9951,0
GatedCUSUM(n=2),burst,20,4,0.8,0.0113,0.0087,0.0172,1,4,457,39816,1
GatedEWMA(n=2),burst,20,4,0.8,0.1717,0.0006,0.0012,1,4,6915,33358,1
GatedMAD(n=2),burst,20,4,0.8,0.0694,0.0014,0.0029,1,4,2794,37479,1
GatedZScore(n=2),burst,20,4,0.2,0.006,0.0041,0.0081,1,1,242,40031,4
Spike_AND(GatedMAD+GatedZScore),burst,20,4,0.2,0.0059,0.0042,0.0082,1,1,238,40035,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,4,0.8,0.1721,0.0006,0.0012,1,4,6930,33343,1
Spike_OR(GatedMAD+GatedZScore),burst,20,4,0.8,0.0695,0.0014,0.0029,1,4,2798,37475,1
TwoLayerEnsemble,burst,20,4,0.8,0.1769,0.0006,0.0011,1,4,7124,33149,1
"ZScore(w=20, thr=3.0)",burst,20,5,0.2,0.0377,0.0007,0.0013,0,1,1519,38774,4
"MAD(w=20, thr=3.5)",burst,20,5,1.0,0.0654,0.0019,0.0038,0,5,2634,37659,0
"EWMA(lambda=0.2, L=3.5)",burst,20,5,0.8,0.6376,0.0002,0.0003,1,4,25692,14601,1
"CUSUM(k=0.5, h=3.5)",burst,20,5,1.0,0.3497,0.0004,0.0007,0,5,14089,26204,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,5,0.2,0.1778,0.0001,0.0003,2,1,7165,33128,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,5,0.0,0.0068,0.0,0.0,-1,0,273,40020,5
GatedCUSUM(n=2),burst,20,5,0.8,0.1521,0.0007,0.0013,1,4,6128,34165,1
GatedEWMA(n=2),burst,20,5,0.6,0.614,0.0001,0.0002,2,3,24739,15554,2
GatedMAD(n=2),burst,20,5,0.8,0.0113,0.0087,0.0172,1,4,457,39836,1
GatedZScore(n=2),burst,20,5,0.0,0.0023,0.0,0.0,-1,0,94,40199,5
Spike_AND(GatedMAD+GatedZScore),burst,20,5,0.0,0.002,0.0,0.0,-1,0,81,40212,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,5,0.8,0.6149,0.0002,0.0003,1,4,24777,15516,1
Spike_OR(GatedMAD+GatedZScore),burst,20,5,0.8,0.0117,0.0084,0.0167,1,4,470,39823,1
TwoLayerEnsemble,burst,20,5,0.8,0.6155,0.0002,0.0003,1,4,24801,15492,1
"ZScore(w=20, thr=3.0)",burst,20,6,0.4,0.0556,0.0009,0.0018,0,2,2240,38040,3
"MAD(w=20, thr=3.5)",burst,20,6,1.0,0.175,0.0007,0.0014,0,5,7050,33230,0
"EWMA(lambda=0.2, L=3.5)",burst,20,6,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,20,6,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,6,0.0,0.0814,0.0,0.0,-1,0,3277,37003,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,6,1.0,0.9054,0.0001,0.0003,0,5,36470,3810,0
GatedCUSUM(n=2),burst,20,6,0.0,0.0002,0.0,0.0,-1,0,7,40273,5
GatedEWMA(n=2),burst,20,6,0.0,0.0051,0.0,0.0,-1,0,205,40075,5
GatedMAD(n=2),burst,20,6,0.8,0.0634,0.0016,0.0031,1,4,2553,37727,1
GatedZScore(n=2),burst,20,6,0.2,0.0075,0.0033,0.0065,1,1,304,39976,4
Spike_AND(GatedMAD+GatedZScore),burst,20,6,0.2,0.0074,0.0033,0.0065,1,1,300,39980,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,6,0.0,0.0052,0.0,0.0,-1,0,208,40072,5
Spike_OR(GatedMAD+GatedZScore),burst,20,6,0.8,0.0635,0.0016,0.0031,1,4,2557,37723,1
TwoLayerEnsemble,burst,20,6,0.2,0.0125,0.002,0.0039,1,1,504,39776,4
"ZScore(w=20, thr=3.0)",burst,20,7,0.4,0.0511,0.001,0.0019,0,2,2059,38228,3
"MAD(w=20, thr=3.5)",burst,20,7,1.0,0.1186,0.001,0.0021,0,5,4777,35510,0
"EWMA(lambda=0.2, L=3.5)",burst,20,7,1.0,0.8282,0.0001,0.0003,0,5,33366,6921,0
"CUSUM(k=0.5, h=3.5)",burst,20,7,1.0,0.6178,0.0002,0.0004,0,5,24889,15398,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,7,1.0,0.448,0.0003,0.0006,0,5,18047,22240,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,7,0.0,0.0078,0.0,0.0,-1,0,314,39973,5
GatedCUSUM(n=2),burst,20,7,1.0,0.5023,0.0002,0.0005,0,5,20237,20050,0
GatedEWMA(n=2),burst,20,7,1.0,0.8155,0.0002,0.0003,0,5,32856,7431,0
GatedMAD(n=2),burst,20,7,0.8,0.0429,0.0023,0.0046,1,4,1728,38559,1
GatedZScore(n=2),burst,20,7,0.2,0.0065,0.0038,0.0074,1,1,263,40024,4
Spike_AND(GatedMAD+GatedZScore),burst,20,7,0.2,0.0061,0.004,0.0079,1,1,246,40041,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,7,1.0,0.8161,0.0002,0.0003,0,5,32878,7409,0
Spike_OR(GatedMAD+GatedZScore),burst,20,7,0.8,0.0433,0.0023,0.0046,1,4,1745,38542,1
TwoLayerEnsemble,burst,20,7,1.0,0.817,0.0002,0.0003,0,5,32914,7373,0
"ZScore(w=20, thr=3.0)",burst,20,8,0.2,0.0634,0.0005,0.0011,0,1,1825,26957,4
"MAD(w=20, thr=3.5)",burst,20,8,1.0,0.1894,0.0009,0.0018,0,5,5450,23332,0
"EWMA(lambda=0.2, L=3.5)",burst,20,8,1.0,0.0199,0.0087,0.0172,0,5,573,28209,0
"CUSUM(k=0.5, h=3.5)",burst,20,8,1.0,0.0102,0.0168,0.033,0,5,293,28489,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,8,0.4,0.0832,0.0008,0.0017,1,2,2395,26387,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,8,0.0,0.0014,0.0,0.0,-1,0,39,28743,5
GatedCUSUM(n=2),burst,20,8,0.8,0.001,0.125,0.2162,1,4,28,28754,1
GatedEWMA(n=2),burst,20,8,0.8,0.0149,0.0093,0.0183,1,4,428,28354,1
GatedMAD(n=2),burst,20,8,0.8,0.093,0.0015,0.003,1,4,2678,26104,1
GatedZScore(n=2),burst,20,8,0.0,0.0151,0.0,0.0,-1,0,435,28347,5
Spike_AND(GatedMAD+GatedZScore),burst,20,8,0.0,0.0151,0.0,0.0,-1,0,434,28348,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,8,0.8,0.0149,0.0092,0.0182,1,4,430,28352,1
Spike_OR(GatedMAD+GatedZScore),burst,20,8,0.8,0.0931,0.0015,0.003,1,4,2679,26103,1
TwoLayerEnsemble,burst,20,8,0.8,0.0298,0.0046,0.0092,1,4,857,27925,1
"ZScore(w=20, thr=3.0)",burst,20,9,0.4,0.0642,0.0091,0.0178,0,2,218,3179,3
"MAD(w=20, thr=3.5)",burst,20,9,1.0,0.2526,0.0058,0.0115,0,5,858,2539,0
"EWMA(lambda=0.2, L=3.5)",burst,20,9,0.0,0.0748,0.0,0.0,-1,0,254,3143,5
"CUSUM(k=0.5, h=3.5)",burst,20,9,0.0,0.0392,0.0,0.0,-1,0,133,3264,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,9,0.0,0.0865,0.0,0.0,-1,0,294,3103,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,9,0.0,0.1357,0.0,0.0,-1,0,461,2936,5
GatedCUSUM(n=2),burst,20,9,0.0,0.0065,0.0,0.0,-1,0,22,3375,5
GatedEWMA(n=2),burst,20,9,0.0,0.0574,0.0,0.0,-1,0,195,3202,5
GatedMAD(n=2),burst,20,9,0.8,0.1392,0.0084,0.0166,1,4,473,2924,1
GatedZScore(n=2),burst,20,9,0.2,0.0183,0.0159,0.0294,1,1,62,3335,4
Spike_AND(GatedMAD+GatedZScore),burst,20,9,0.2,0.0183,0.0159,0.0294,1,1,62,3335,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,9,0.0,0.0595,0.0,0.0,-1,0,202,3195,5
Spike_OR(GatedMAD+GatedZScore),burst,20,9,0.8,0.1392,0.0084,0.0166,1,4,473,2924,1
TwoLayerEnsemble,burst,20,9,0.2,0.0745,0.0039,0.0077,1,1,253,3144,4
"ZScore(w=20, thr=3.0)",burst,20,10,0.4,0.0512,0.001,0.0019,0,2,2062,38227,3
"MAD(w=20, thr=3.5)",burst,20,10,1.0,0.1326,0.0009,0.0019,0,5,5341,34948,0
"EWMA(lambda=0.2, L=3.5)",burst,20,10,0.0,0.0026,0.0,0.0,-1,0,103,40186,5
"CUSUM(k=0.5, h=3.5)",burst,20,10,0.0,0.0268,0.0,0.0,-1,0,1081,39208,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,10,0.2,0.0817,0.0003,0.0006,0,1,3290,36999,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,10,0.0,0.0004,0.0,0.0,-1,0,17,40272,5
GatedCUSUM(n=2),burst,20,10,0.0,0.0,0.0,0.0,-1,0,0,40289,5
GatedEWMA(n=2),burst,20,10,0.0,0.0019,0.0,0.0,-1,0,75,40214,5
GatedMAD(n=2),burst,20,10,0.8,0.0567,0.0017,0.0035,1,4,2284,38005,1
GatedZScore(n=2),burst,20,10,0.2,0.0091,0.0027,0.0053,1,1,368,39921,4
Spike_AND(GatedMAD+GatedZScore),burst,20,10,0.2,0.0089,0.0028,0.0055,1,1,360,39929,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,10,0.0,0.0019,0.0,0.0,-1,0,75,40214,5
Spike_OR(GatedMAD+GatedZScore),burst,20,10,0.8,0.0569,0.0017,0.0035,1,4,2292,37997,1
TwoLayerEnsemble,burst,20,10,0.2,0.0108,0.0023,0.0045,1,1,435,39854,4
"ZScore(w=20, thr=3.0)",burst,20,11,0.4,0.0305,0.0017,0.0033,0,2,1201,38216,3
"MAD(w=20, thr=3.5)",burst,20,11,1.0,0.0657,0.0019,0.0038,0,5,2591,36826,0
"EWMA(lambda=0.2, L=3.5)",burst,20,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
"CUSUM(k=0.5, h=3.5)",burst,20,11,0.2,0.0298,0.0008,0.0017,2,1,1176,38241,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,11,0.2,0.0809,0.0003,0.0006,4,1,3188,36229,4
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,11,0.4,0.5743,0.0001,0.0002,0,2,22638,16779,3
GatedCUSUM(n=2),burst,20,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
GatedEWMA(n=2),burst,20,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
GatedMAD(n=2),burst,20,11,0.8,0.0105,0.0095,0.0189,1,4,415,39002,1
GatedZScore(n=2),burst,20,11,0.2,0.0012,0.0213,0.0385,1,1,46,39371,4
Spike_AND(GatedMAD+GatedZScore),burst,20,11,0.2,0.0011,0.0227,0.0408,1,1,43,39374,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
Spike_OR(GatedMAD+GatedZScore),burst,20,11,0.8,0.0106,0.0095,0.0187,1,4,418,38999,1
TwoLayerEnsemble,burst,20,11,0.2,0.0011,0.0227,0.0408,1,1,43,39374,4
"ZScore(w=20, thr=3.0)",burst,20,12,0.2,0.0511,0.0005,0.001,0,1,2059,38228,4
"MAD(w=20, thr=3.5)",burst,20,12,1.0,0.1186,0.001,0.0021,0,5,4777,35510,0
"EWMA(lambda=0.2, L=3.5)",burst,20,12,1.0,0.8285,0.0001,0.0003,0,5,33376,6911,0
"CUSUM(k=0.5, h=3.5)",burst,20,12,1.0,0.6179,0.0002,0.0004,0,5,24892,15395,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,12,1.0,0.4483,0.0003,0.0006,0,5,18060,22227,0
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,12,0.2,0.0081,0.003,0.006,4,1,327,39960,4
GatedCUSUM(n=2),burst,20,12,1.0,0.5024,0.0002,0.0005,0,5,20240,20047,0
GatedEWMA(n=2),burst,20,12,1.0,0.8158,0.0002,0.0003,0,5,32866,7421,0
GatedMAD(n=2),burst,20,12,1.0,0.0429,0.0029,0.0058,0,5,1728,38559,0
GatedZScore(n=2),burst,20,12,0.0,0.0065,0.0,0.0,-1,0,263,40024,5
Spike_AND(GatedMAD+GatedZScore),burst,20,12,0.0,0.0061,0.0,0.0,-1,0,246,40041,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,12,1.0,0.8163,0.0002,0.0003,0,5,32888,7399,0
Spike_OR(GatedMAD+GatedZScore),burst,20,12,1.0,0.0433,0.0029,0.0057,0,5,1745,38542,0
TwoLayerEnsemble,burst,20,12,1.0,0.8172,0.0002,0.0003,0,5,32924,7363,0
"ZScore(w=20, thr=3.0)",burst,20,13,0.2,0.0496,0.0005,0.001,0,1,1999,38293,4
"MAD(w=20, thr=3.5)",burst,20,13,1.0,0.224,0.0006,0.0011,0,5,9026,31266,0
"EWMA(lambda=0.2, L=3.5)",burst,20,13,1.0,0.0829,0.0015,0.003,0,5,3339,36953,0
"CUSUM(k=0.5, h=3.5)",burst,20,13,1.0,0.0431,0.0029,0.0057,0,5,1737,38555,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,13,0.6,0.089,0.0008,0.0017,0,3,3588,36704,2
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,13,0.6,0.4062,0.0002,0.0004,2,3,16365,23927,2
GatedCUSUM(n=2),burst,20,13,0.8,0.0029,0.0331,0.0635,1,4,117,40175,1
GatedEWMA(n=2),burst,20,13,0.8,0.061,0.0016,0.0032,1,4,2459,37833,1
GatedMAD(n=2),burst,20,13,0.8,0.0759,0.0013,0.0026,1,4,3057,37235,1
GatedZScore(n=2),burst,20,13,0.0,0.0037,0.0,0.0,-1,0,149,40143,5
Spike_AND(GatedMAD+GatedZScore),burst,20,13,0.0,0.0036,0.0,0.0,-1,0,146,40146,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,13,0.8,0.0615,0.0016,0.0032,1,4,2479,37813,1
Spike_OR(GatedMAD+GatedZScore),burst,20,13,0.8,0.0759,0.0013,0.0026,1,4,3060,37232,1
TwoLayerEnsemble,burst,20,13,0.8,0.0643,0.0015,0.0031,1,4,2591,37701,1
"ZScore(w=20, thr=3.0)",burst,20,14,0.2,0.0442,0.0006,0.0011,0,1,1779,38513,4
"MAD(w=20, thr=3.5)",burst,20,14,0.4,0.1101,0.0005,0.0009,0,2,4436,35856,3
"EWMA(lambda=0.2, L=3.5)",burst,20,14,1.0,0.0825,0.0015,0.003,0,5,3325,36967,0
"CUSUM(k=0.5, h=3.5)",burst,20,14,1.0,0.0373,0.0033,0.0066,0,5,1503,38789,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,14,0.6,0.0891,0.0008,0.0017,0,3,3592,36700,2
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,14,0.8,0.3351,0.0003,0.0006,1,4,13501,26791,1
GatedCUSUM(n=2),burst,20,14,0.8,0.0026,0.0374,0.0714,1,4,103,40189,1
GatedEWMA(n=2),burst,20,14,0.8,0.0679,0.0015,0.0029,1,4,2735,37557,1
GatedMAD(n=2),burst,20,14,0.2,0.0221,0.0011,0.0022,1,1,892,39400,4
GatedZScore(n=2),burst,20,14,0.0,0.0036,0.0,0.0,-1,0,144,40148,5
Spike_AND(GatedMAD+GatedZScore),burst,20,14,0.0,0.0034,0.0,0.0,-1,0,136,40156,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,14,0.8,0.0681,0.0015,0.0029,1,4,2744,37548,1
Spike_OR(GatedMAD+GatedZScore),burst,20,14,0.2,0.0223,0.0011,0.0022,1,1,900,39392,4
TwoLayerEnsemble,burst,20,14,0.8,0.0709,0.0014,0.0028,1,4,2856,37436,1
"ZScore(w=20, thr=3.0)",burst,20,15,0.6,0.0358,0.0021,0.0041,0,3,1443,38850,2
"MAD(w=20, thr=3.5)",burst,20,15,1.0,0.058,0.0021,0.0043,0,5,2338,37955,0
"EWMA(lambda=0.2, L=3.5)",burst,20,15,0.6,0.6932,0.0001,0.0002,2,3,27930,12363,2
"CUSUM(k=0.5, h=3.5)",burst,20,15,0.6,0.3919,0.0002,0.0004,1,3,15792,24501,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,15,0.4,0.1672,0.0003,0.0006,1,2,6739,33554,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,15,0.0,0.2544,0.0,0.0,-1,0,10252,30041,5
GatedCUSUM(n=2),burst,20,15,0.2,0.1683,0.0001,0.0003,2,1,6782,33511,4
GatedEWMA(n=2),burst,20,15,0.4,0.6699,0.0001,0.0001,3,2,26991,13302,3
GatedMAD(n=2),burst,20,15,0.8,0.0177,0.0056,0.0111,1,4,713,39580,1
GatedZScore(n=2),burst,20,15,0.4,0.004,0.0122,0.0237,1,2,162,40131,3
Spike_AND(GatedMAD+GatedZScore),burst,20,15,0.4,0.0034,0.0144,0.0278,1,2,137,40156,3
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,15,0.6,0.6726,0.0001,0.0002,2,3,27103,13190,2
Spike_OR(GatedMAD+GatedZScore),burst,20,15,0.8,0.0183,0.0054,0.0107,1,4,738,39555,1
TwoLayerEnsemble,burst,20,15,0.8,0.6734,0.0001,0.0003,1,4,27133,13160,1
"ZScore(w=20, thr=3.0)",burst,20,16,0.2,0.0556,0.0004,0.0009,0,1,2241,38039,4
"MAD(w=20, thr=3.5)",burst,20,16,1.0,0.175,0.0007,0.0014,0,5,7049,33231,0
"EWMA(lambda=0.2, L=3.5)",burst,20,16,0.8,0.0069,0.0142,0.0279,1,4,278,40002,1
"CUSUM(k=0.5, h=3.5)",burst,20,16,0.6,0.0053,0.0139,0.0271,0,3,213,40067,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,16,0.4,0.0814,0.0006,0.0012,1,2,3279,37001,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,16,0.6,0.9054,0.0001,0.0002,2,3,36468,3812,2
GatedCUSUM(n=2),burst,20,16,0.0,0.0002,0.0,0.0,-1,0,7,40273,5
GatedEWMA(n=2),burst,20,16,0.6,0.0051,0.0143,0.0279,2,3,207,40073,2
GatedMAD(n=2),burst,20,16,0.8,0.0634,0.0016,0.0031,1,4,2553,37727,1
GatedZScore(n=2),burst,20,16,0.0,0.0075,0.0,0.0,-1,0,304,39976,5
Spike_AND(GatedMAD+GatedZScore),burst,20,16,0.0,0.0074,0.0,0.0,-1,0,300,39980,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,16,0.6,0.0052,0.0141,0.0275,2,3,210,40070,2
Spike_OR(GatedMAD+GatedZScore),burst,20,16,0.8,0.0635,0.0016,0.0031,1,4,2557,37723,1
TwoLayerEnsemble,burst,20,16,0.6,0.0126,0.0059,0.0117,2,3,506,39774,2
"ZScore(w=20, thr=3.0)",burst,20,17,0.4,0.0472,0.0011,0.0021,0,2,1897,38263,3
"MAD(w=20, thr=3.5)",burst,20,17,1.0,0.1115,0.0011,0.0022,0,5,4477,35683,0
"EWMA(lambda=0.2, L=3.5)",burst,20,17,1.0,0.064,0.0019,0.0039,0,5,2572,37588,0
"CUSUM(k=0.5, h=3.5)",burst,20,17,1.0,0.0506,0.0025,0.0049,0,5,2033,38127,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,17,0.4,0.0895,0.0006,0.0011,1,2,3593,36567,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,17,1.0,0.275,0.0005,0.0009,0,5,11046,29114,0
GatedCUSUM(n=2),burst,20,17,0.8,0.004,0.0241,0.0468,1,4,162,39998,1
GatedEWMA(n=2),burst,20,17,0.8,0.0563,0.0018,0.0035,1,4,2261,37899,1
GatedMAD(n=2),burst,20,17,0.8,0.0363,0.0027,0.0055,1,4,1457,38703,1
GatedZScore(n=2),burst,20,17,0.2,0.0058,0.0043,0.0084,1,1,232,39928,4
Spike_AND(GatedMAD+GatedZScore),burst,20,17,0.2,0.0057,0.0044,0.0086,1,1,227,39933,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,17,0.8,0.0569,0.0017,0.0035,1,4,2286,37874,1
Spike_OR(GatedMAD+GatedZScore),burst,20,17,0.8,0.0364,0.0027,0.0054,1,4,1462,38698,1
TwoLayerEnsemble,burst,20,17,0.8,0.0621,0.0016,0.0032,1,4,2494,37666,1
